year,odometer,cylinders,fuel,manufacture,drive,paint,price,transmission
2013.0,104246.0,4.0,1.0,ford,fwd,,136.0,0.0
2014.0,125834.0,4.0,0.0,honda,fwd,,155.0,0.0
2015.0,94933.0,6.0,0.0,infiniti,rwd,,17995.0,0.0
2017.0,64265.0,4.0,0.0,hyundai,fwd,,11995.0,0.0
2018.0,39101.0,4.0,0.0,nissan,fwd,,16495.0,0.0
2013.0,160000.0,4.0,0.0,,rwd,grey,7000.0,0.0
2017.0,93702.0,4.0,0.0,bmw,rwd,black,13999.0,0.0
2018.0,83217.0,6.0,0.0,,rwd,black,17999.0,0.0
2016.0,84285.0,,0.0,honda,,black,15000.0,0.0
2014.0,185473.0,8.0,0.0,chevrolet,rwd,,15995.0,0.0
2019.0,27540.0,4.0,1.0,bmw,rwd,,34980.0,0.0
2004.0,220000.0,4.0,0.0,honda,fwd,grey,3600.0,0.0
2003.0,13993.0,,0.0,dodge,rwd,silver,52995.0,1.0
2007.0,252335.0,8.0,0.0,lincoln,,black,4500.0,0.0
2014.0,110698.0,8.0,0.0,gmc,4wd,,232.0,0.0
2014.0,238000.0,6.0,0.0,toyota,rwd,grey,18650.0,0.0
1970.0,32679.0,,0.0,,,,48500.0,0.0
2017.0,182000.0,4.0,0.0,ford,fwd,,13999.0,0.0
2006.0,208747.0,8.0,0.0,chevrolet,rwd,,8995.0,0.0
2017.0,105911.0,6.0,0.0,bmw,4wd,,27999.0,0.0
2020.0,24998.0,4.0,0.0,volvo,4wd,,580.0,0.0
2012.0,47517.0,4.0,1.0,lexus,fwd,,21520.0,0.0
2004.0,88657.0,6.0,0.0,,,grey,34995.0,0.0
2014.0,80037.0,4.0,0.0,volkswagen,fwd,grey,16500.0,0.0
2014.0,73000.0,,0.0,for,,black,11000.0,0.0
2008.0,68000.0,4.0,0.0,saturn,rwd,red,13995.0,1.0
2021.0,13491.0,,1.0,toyota,4wd,red,54850.0,0.0
2015.0,29930.0,,1.0,fiat,fwd,,167.0,0.0
2000.0,55000.0,8.0,0.0,chevrolet,fwd,grey,16400.0,0.0
2008.0,178000.0,4.0,0.0,,fwd,silver,4850.0,0.0
2017.0,48019.0,4.0,0.0,,rwd,,24992.0,0.0
2022.0,17291.0,4.0,1.0,toyota,fwd,silver,29995.0,0.0
2015.0,200000.0,,0.0,mercedes,,,8000.0,0.0
2002.0,150000.0,8.0,0.0,gmc,rwd,black,6900.0,0.0
2009.0,244000.0,,0.0,toyota,,,11500.0,0.0
2011.0,91351.0,4.0,0.0,kia,fwd,,9499.0,0.0
2018.0,42058.0,6.0,0.0,acura,4wd,,33495.0,0.0
1971.0,41479.0,,1.0,,,,34500.0,0.0
2003.0,99524.0,8.0,0.0,ford,rwd,silver,7000.0,0.0
2019.0,117341.0,4.0,1.0,hyundai,fwd,,174.0,0.0
2020.0,25846.0,6.0,0.0,nissan,fwd,,29888.0,0.0
1993.0,240000.0,8.0,0.0,gmc,rwd,brown,7900.0,0.0
2015.0,121955.0,4.0,1.0,toyota,fwd,,13999.0,0.0
2020.0,21294.0,,0.0,mazda,fwd,blue,25237.0,0.0
2019.0,19745.0,,0.0,mazda,,,38568.0,0.0
2021.0,18752.0,,0.0,mazda,fwd,red,23039.0,0.0
,23497.0,8.0,0.0,,,blue,139950.0,0.0
2015.0,157641.0,6.0,0.0,ford,4wd,,,0.0
2019.0,40468.0,4.0,0.0,,fwd,,26995.0,0.0
2018.0,53367.0,6.0,0.0,land,4wd,,34595.0,0.0
2016.0,74325.0,6.0,0.0,jeep,4wd,,16250.0,0.0
2018.0,59661.0,4.0,0.0,lexus,fwd,,27999.0,0.0
2016.0,104605.0,8.0,0.0,chevrolet,rwd,,27995.0,0.0
2017.0,57520.0,8.0,0.0,ram,4wd,,34595.0,0.0
2019.0,32632.0,4.0,0.0,ford,fwd,,28974.0,0.0
2017.0,46610.0,4.0,0.0,bmw,rwd,,25970.0,0.0
2019.0,26734.0,4.0,0.0,acura,fwd,,34995.0,0.0
2019.0,26374.0,4.0,0.0,subaru,4wd,,25334.0,0.0
2016.0,79796.0,6.0,0.0,land,4wd,,33750.0,0.0
2018.0,61828.0,8.0,0.0,dodge,4wd,,592.0,0.0
2020.0,24984.0,4.0,0.0,volvo,fwd,,449.0,0.0
2019.0,62887.0,4.0,0.0,toyota,fwd,,21995.0,0.0
2016.0,99644.0,4.0,0.0,,fwd,,10399.0,0.0
2006.0,151000.0,4.0,0.0,ford,rwd,white,4200.0,0.0
2022.0,56.0,,1.0,tesla,,,135000.0,0.0
2022.0,8743.0,,0.0,gmc,4wd,,46777.0,0.0
2022.0,3598.0,,0.0,chevrolet,,,42995.0,0.0
2010.0,146500.0,5.0,0.0,volvo,fwd,grey,5700.0,0.0
2006.0,26094.0,4.0,0.0,mazda,rwd,white,,0.0
2011.0,219066.0,,0.0,,,white,59500.0,0.0
2016.0,125232.0,4.0,0.0,honda,fwd,black,,0.0
1962.0,64000.0,8.0,0.0,ford,rwd,black,48000.0,0.0
1972.0,84000.0,8.0,0.0,,rwd,blue,24500.0,0.0
2013.0,150000.0,6.0,0.0,,rwd,white,19900.0,0.0
2012.0,183000.0,6.0,0.0,dodge,,,6500.0,0.0
2004.0,204416.0,8.0,0.0,,rwd,brown,4000.0,0.0
2003.0,30000.0,6.0,0.0,,4wd,black,34999.0,1.0
2001.0,198000.0,6.0,0.0,toyota,,black,1999.0,0.0
1962.0,0.0,6.0,0.0,,,,6500.0,1.0
2010.0,158000.0,6.0,0.0,bmw,4wd,silver,7999.0,0.0
1970.0,1111.0,,0.0,,,,85000.0,0.0
1966.0,10000.0,,0.0,ford,,,22500.0,0.0
2000.0,152000.0,6.0,0.0,bmw,fwd,green,10500.0,0.0
2017.0,36000.0,,0.0,,,,700.0,0.0
2002.0,83000.0,6.0,0.0,lexus,fwd,silver,9000.0,0.0
2019.0,30000.0,,0.0,jaguar,,,45950.0,0.0
1994.0,163658.0,8.0,0.0,mercedes,rwd,grey,10900.0,0.0
2006.0,105000.0,6.0,0.0,,4wd,black,9775.0,0.0
1988.0,60000.0,6.0,0.0,jeep,4wd,white,12500.0,1.0
2014.0,71075.0,4.0,0.0,vw,fwd,black,7995.0,0.0
2014.0,61734.0,4.0,0.0,honda,fwd,grey,10900.0,0.0
2016.0,108115.0,4.0,0.0,bmw,rwd,white,11495.0,0.0
2004.0,145000.0,4.0,0.0,honda,,silver,4900.0,0.0
2011.0,79000.0,6.0,0.0,honda,fwd,,12500.0,0.0
1995.0,138000.0,8.0,0.0,ford,,black,11000.0,1.0
2006.0,132000.0,4.0,0.0,toyota,fwd,black,3500.0,0.0
1991.0,105000.0,4.0,0.0,bmw,,black,9900.0,1.0
2004.0,1.0,6.0,0.0,bmw,4wd,white,4500.0,0.0
2014.0,52053.0,,0.0,infiniti,rwd,silver,,0.0
2023.0,1.0,,1.0,,4wd,grey,1000.0,0.0
2007.0,153000.0,6.0,0.0,volvo,,blue,4250.0,0.0
2016.0,92000.0,,0.0,,,,250000.0,0.0
2018.0,37200.0,,1.0,tesla,4wd,white,53000.0,0.0
1969.0,160000.0,4.0,0.0,volvo,rwd,red,4500.0,1.0
2018.0,57000.0,,1.0,,4wd,blue,49000.0,0.0
2006.0,140000.0,,0.0,,,,500.0,0.0
2022.0,2700.0,,1.0,on,,white,49000.0,0.0
2018.0,58000.0,,1.0,tesla,,red,35000.0,0.0
1991.0,197000.0,,0.0,bmw,,,13000.0,1.0
2016.0,104000.0,,1.0,tesla,,black,63000.0,0.0
