year,odometer,cylinders,fuel,manufacture,drive,paint,price,transmission
2014,105000,NaN,0.0,ford,NaN,NaN,5000,0.0
2020,3600,NaN,0.0,mini,NaN,NaN,35000,0.0
1975,40723,8,0.0,NaN,4wd,black,11500,0.0
1973,1000,NaN,0.0,it,NaN,NaN,12,0.0
2015,82500,8,0.0,gmc,4wd,black,38000,0.0
2017,72000,4,0.0,acura,fwd,white,7900,0.0
2018,54000,4,0.0,mazda,fwd,red,12600,0.0
2009,81000,6,0.0,toyota,NaN,NaN,12700,0.0
2019,30100,4,0.0,mazda,fwd,red,22800,0.0
2001,211000,8,0.0,toyota,4wd,black,5500,0.0
1993,151000,8,0.0,pontiac,rwd,black,6000,1.0
2011,180000,4,0.0,toyota,NaN,NaN,4200,1.0
2008,85565,NaN,0.0,chevrolet,NaN,NaN,10477,0.0
2005,169000,4,0.0,honda,fwd,blue,4500,0.0
2013,38600,NaN,0.0,NaN,NaN,NaN,13000,0.0
2015,150000,4,0.0,toyota,NaN,NaN,7500,0.0
2012,172922,6,0.0,nissan,4wd,grey,11995,0.0
2014,85889,6,0.0,chrysler,4wd,grey,16495,0.0
2014,123354,8,0.0,ford,rwd,white,20995,0.0
2013,124050,4,0.0,subaru,4wd,silver,14495,0.0
2016,96005,NaN,0.0,ford,4wd,NaN,18988,0.0
2020,12742,NaN,0.0,ford,4wd,red,NaN,0.0
2022,6150,NaN,0.0,ford,4wd,grey,NaN,0.0
2022,4116,NaN,0.0,ford,4wd,white,NaN,0.0
2000,294000,8,0.0,ford,rwd,white,5500,0.0
2017,76245,NaN,0.0,ford,4wd,white,NaN,0.0
2005,122000,6,0.0,toyota,NaN,NaN,16200,0.0
2020,12874,NaN,0.0,ford,NaN,blue,NaN,0.0
2020,18161,NaN,0.0,ford,4wd,white,NaN,0.0
2020,21829,NaN,0.0,ford,NaN,red,NaN,0.0
2007,86573,NaN,0.0,toyota,fwd,NaN,NaN,0.0
2022,5612,NaN,0.0,ford,4wd,black,NaN,0.0
2017,95036,4,0.0,volkswagen,fwd,white,15495,0.0
2013,130793,8,0.0,chevrolet,rwd,grey,17495,0.0
2014,123391,8,0.0,toyota,rwd,grey,23995,0.0
2011,115957,4,0.0,honda,fwd,black,10750,0.0
2010,167250,4,1.0,toyota,fwd,black,11750,0.0
2022,5200,NaN,0.0,ford,4wd,white,NaN,0.0
2022,5249,NaN,0.0,ford,4wd,NaN,NaN,0.0
2012,870000,NaN,0.0,NaN,NaN,NaN,20000,1.0
2021,14597,NaN,0.0,ford,4wd,blue,NaN,0.0
2020,21302,NaN,0.0,chevrolet,NaN,NaN,NaN,0.0
2010,130766,NaN,0.0,honda,4wd,brown,13487,0.0
2021,53400,NaN,0.0,chevrolet,4wd,white,NaN,0.0
2008,229700,6,0.0,mazda,4wd,blue,5500,0.0
2022,2413,NaN,0.0,chevrolet,4wd,black,NaN,0.0
2015,80000,4,0.0,toyota,NaN,NaN,10100,0.0
2015,79000,4,0.0,honda,fwd,blue,13900,0.0
2022,1077,NaN,0.0,acura,4wd,white,NaN,0.0
2020,86491,NaN,0.0,toyota,NaN,NaN,18988,0.0
2017,115543,NaN,0.0,subaru,4wd,NaN,17598,0.0
2018,76341,NaN,0.0,jeep,NaN,white,16988,1.0
2022,3908,NaN,1.0,ford,4wd,NaN,NaN,0.0
2022,2089,NaN,1.0,ford,4wd,NaN,NaN,0.0
